127.0.0.1 - - [21/May/2018:10:33:04 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [21/May/2018:10:36:36 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10797
0:0:0:0:0:0:0:1 - - [21/May/2018:10:36:37 +0530] "GET /Application/Admin/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:10:36:37 +0530] "GET /Application/Admin/resources/JS/validateSysAdmin230.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:10:36:37 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/css1/bootstrap-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:10:36:37 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/css1/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:10:36:37 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/js/jquery-3.3.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:10:36:38 +0530] "GET /Application/Admin/images/Rail_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:10:36:38 +0530] "GET /Application/Admin/images/RVNL_LOGO.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:10:36:38 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:10:36:39 +0530] "GET /Application/Admin/images/Rail_Rvnl_Home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:11:06:40 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10797
0:0:0:0:0:0:0:1 - - [21/May/2018:11:36:40 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10797
0:0:0:0:0:0:0:1 - - [21/May/2018:12:06:41 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10797
0:0:0:0:0:0:0:1 - - [21/May/2018:12:36:41 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10797
0:0:0:0:0:0:0:1 - - [21/May/2018:13:06:41 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10797
0:0:0:0:0:0:0:1 - - [21/May/2018:13:13:07 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
