127.0.0.1 - - [07/Jun/2018:17:16:14 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [07/Jun/2018:17:16:20 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10764
0:0:0:0:0:0:0:1 - - [07/Jun/2018:17:16:20 +0530] "GET /Application/Admin/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:17:16:21 +0530] "GET /Application/Admin/images/PDAMS_icon.ico HTTP/1.1" 200 5102
0:0:0:0:0:0:0:1 - - [07/Jun/2018:17:16:22 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:17:16:58 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13724
0:0:0:0:0:0:0:1 - - [07/Jun/2018:17:17:16 +0530] "GET /Application/Admin/CreateProjects.jsp HTTP/1.1" 200 317282
0:0:0:0:0:0:0:1 - - [07/Jun/2018:17:17:16 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [07/Jun/2018:17:17:16 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [07/Jun/2018:17:17:16 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [07/Jun/2018:17:17:16 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [07/Jun/2018:17:18:05 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [07/Jun/2018:17:18:05 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [07/Jun/2018:17:26:16 +0530] "GET /Application/Admin/CreateProjects.jsp HTTP/1.1" 200 317558
0:0:0:0:0:0:0:1 - - [07/Jun/2018:17:26:16 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/css1/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:17:26:39 +0530] "GET /Application/Admin/CreateProjects.jsp HTTP/1.1" 200 318378
0:0:0:0:0:0:0:1 - - [07/Jun/2018:17:26:49 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/css1/bootstrap.min.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:17:56:40 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10768
0:0:0:0:0:0:0:1 - - [07/Jun/2018:17:56:40 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/css1/bootstrap-theme.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:17:57:19 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:17:57:53 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13724
0:0:0:0:0:0:0:1 - - [07/Jun/2018:18:01:53 +0530] "GET /Application/Admin/CreateProjects.jsp HTTP/1.1" 200 318378
0:0:0:0:0:0:0:1 - - [07/Jun/2018:22:49:33 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10764
0:0:0:0:0:0:0:1 - - [07/Jun/2018:22:49:37 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:22:50:13 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13724
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:20:14 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10764
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:50:15 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10764
