127.0.0.1 - - [12/Jul/2018:10:54:25 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:54:54 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:54:55 +0530] "GET /Application/Admin/images/PDAMS_icon.ico HTTP/1.1" 200 5102
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:55:21 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:56:02 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13805
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:56:03 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [12/Jul/2018:11:26:03 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [12/Jul/2018:11:56:04 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [12/Jul/2018:11:56:23 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2018:11:56:59 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13805
0:0:0:0:0:0:0:1 - - [12/Jul/2018:12:26:18 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13786
0:0:0:0:0:0:0:1 - - [12/Jul/2018:12:50:50 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13786
0:0:0:0:0:0:0:1 - - [12/Jul/2018:12:53:55 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13786
0:0:0:0:0:0:0:1 - - [12/Jul/2018:13:23:56 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [12/Jul/2018:13:37:35 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2018:13:38:11 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13786
0:0:0:0:0:0:0:1 - - [12/Jul/2018:13:43:42 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13786
0:0:0:0:0:0:0:1 - - [12/Jul/2018:14:13:43 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [12/Jul/2018:14:43:44 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:13:46 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:43:47 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [12/Jul/2018:16:13:48 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [12/Jul/2018:16:43:49 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [12/Jul/2018:17:06:30 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2018:17:07:06 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13786
0:0:0:0:0:0:0:1 - - [12/Jul/2018:17:34:34 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13631
0:0:0:0:0:0:0:1 - - [12/Jul/2018:17:35:08 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13631
0:0:0:0:0:0:0:1 - - [12/Jul/2018:17:59:25 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13631
0:0:0:0:0:0:0:1 - - [12/Jul/2018:18:01:25 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13643
0:0:0:0:0:0:0:1 - - [12/Jul/2018:18:31:26 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
