127.0.0.1 - - [29/Aug/2018:10:28:03 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [29/Aug/2018:10:28:39 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [29/Aug/2018:10:28:39 +0530] "GET /Application/Admin/resources/JS/validateSysAdmin230.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:10:28:46 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:10:29:24 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13660
0:0:0:0:0:0:0:1 - - [29/Aug/2018:10:29:24 +0530] "GET /Application/Admin/resources/css/ThmBrown.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:10:29:25 +0530] "GET /Application/Admin/images/mygraph.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:10:29:25 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [29/Aug/2018:10:59:25 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [29/Aug/2018:11:29:26 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [29/Aug/2018:11:59:26 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [29/Aug/2018:12:29:26 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [29/Aug/2018:12:59:27 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [29/Aug/2018:13:29:27 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [29/Aug/2018:13:59:28 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
