127.0.0.1 - - [06/Sep/2018:09:48:53 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:49:10 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:49:20 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:49:45 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:49:46 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:51:46 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:53:56 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:54:24 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:07:11 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:09:57 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:10:43 +0530] "GET /Application/Admin/user_Project.jsp HTTP/1.1" 200 11391
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:10:44 +0530] "GET /Application/Admin/resources/JS/UserIndex.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:18:36 +0530] "GET /Application/Admin/MoreInfo.jsp HTTP/1.1" 200 13342
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:48:37 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:48:38 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/css1/bootstrap-theme.css.map HTTP/1.1" 200 47706
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:18:38 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:20:19 +0530] "GET /Application/Admin/Test1.jsp HTTP/1.1" 500 2870
