127.0.0.1 - - [05/Nov/2018:11:27:13 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [05/Nov/2018:11:27:25 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [05/Nov/2018:11:27:25 +0530] "GET /Application/Admin/resources/JS/validateSysAdmin230.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2018:11:38:36 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Nov/2018:11:39:11 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13660
0:0:0:0:0:0:0:1 - - [05/Nov/2018:11:39:12 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Nov/2018:12:09:12 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [05/Nov/2018:12:17:14 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Nov/2018:12:17:48 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13660
0:0:0:0:0:0:0:1 - - [05/Nov/2018:12:47:49 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [05/Nov/2018:12:52:17 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Nov/2018:12:52:51 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13660
0:0:0:0:0:0:0:1 - - [05/Nov/2018:13:22:52 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [05/Nov/2018:13:52:52 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [05/Nov/2018:14:22:52 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [05/Nov/2018:14:50:59 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Nov/2018:14:51:38 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13660
0:0:0:0:0:0:0:1 - - [05/Nov/2018:15:21:39 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [05/Nov/2018:15:27:23 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Nov/2018:15:27:57 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13660
0:0:0:0:0:0:0:1 - - [05/Nov/2018:15:28:03 +0530] "GET /Application/Admin/Update.jsp HTTP/1.1" 200 12673
0:0:0:0:0:0:0:1 - - [05/Nov/2018:15:28:54 +0530] "GET /Application/Admin/showList.jsp?type=Departments HTTP/1.1" 200 5189
0:0:0:0:0:0:0:1 - - [05/Nov/2018:16:07:56 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [05/Nov/2018:16:28:45 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Nov/2018:16:29:21 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13660
0:0:0:0:0:0:0:1 - - [05/Nov/2018:16:59:22 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [05/Nov/2018:17:23:23 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Nov/2018:17:24:02 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13660
0:0:0:0:0:0:0:1 - - [05/Nov/2018:17:26:41 +0530] "GET /Application/Admin/helpadmin.jsp HTTP/1.1" 200 22328
0:0:0:0:0:0:0:1 - - [05/Nov/2018:17:26:42 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [05/Nov/2018:17:26:42 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [05/Nov/2018:17:26:43 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [05/Nov/2018:17:56:43 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:56:41 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:26:42 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:56:46 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [05/Nov/2018:22:26:47 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [05/Nov/2018:22:56:48 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10955
